"variant","prompt","rep","prompt_tokens","prompt_ms","prompt_tok_s","gen_tokens","gen_ms","gen_tok_s","wall_ms","status","detail","kv_size_mib","vram_used_mib","ctx","ngl","split_mode","cache_k","cache_v","parallel","nkvo","flash_attn"
"ctx16k-f16","corto","1","23","336.8","68.29","64","4094.4","15.39","4432.9","ok","",,"20626","16384","999","layer","f16","f16","1","False","on"
"ctx16k-f16","corto","2","23","318.0","72.34","64","4079.7","15.44","4537.5","ok","",,"20626","16384","999","layer","f16","f16","1","False","on"
"ctx16k-f16","corto","3","23","319.0","72.11","64","4084.2","15.43","4541","ok","",,"20626","16384","999","layer","f16","f16","1","False","on"
"ctx16k-f16","medio","1","23","317.7","72.40","256","16496.9","15.46","16815.9","ok","",,"20626","16384","999","layer","f16","f16","1","False","on"
"ctx16k-f16","medio","2","23","316.9","72.59","256","16440.0","15.51","16902.6","ok","",,"20626","16384","999","layer","f16","f16","1","False","on"
"ctx16k-f16","medio","3","23","313.8","73.30","256","16438.0","15.51","16896.5","ok","",,"20626","16384","999","layer","f16","f16","1","False","on"
"ctx16k-f16","codigo","1","30","322.4","93.06","512","32195.4","15.87","32663.5","ok","",,"20626","16384","999","layer","f16","f16","1","False","on"
"ctx16k-f16","codigo","2","30","318.1","94.31","512","32462.5","15.74","32938","ok","",,"20626","16384","999","layer","f16","f16","1","False","on"
"ctx16k-f16","codigo","3","30","317.3","94.54","512","32260.4","15.84","32767.2","ok","",,"20626","16384","999","layer","f16","f16","1","False","on"
