"variant","prompt","rep","prompt_tokens","prompt_ms","prompt_tok_s","gen_tokens","gen_ms","gen_tok_s","wall_ms","status","detail","kv_size_mib","vram_used_mib","ctx","ngl","split_mode","cache_k","cache_v","parallel","nkvo","flash_attn"
"ctx32k-ram","corto","1","23","901.6","25.51","64","21501.0","2.93","22404.3","ok","",,"19821","32768","999","layer","f16","f16","1","True","on"
"ctx32k-ram","corto","2","23","936.6","24.56","64","21451.1","2.94","22459.5","ok","",,"19821","32768","999","layer","f16","f16","1","True","on"
"ctx32k-ram","corto","3","23","861.8","26.69","64","21227.3","2.97","22159.7","ok","",,"19821","32768","999","layer","f16","f16","1","True","on"
"ctx32k-ram","medio","1","23","957.8","24.01","256","87547.0","2.91","88506.2","ok","",,"19821","32768","999","layer","f16","f16","1","True","on"
"ctx32k-ram","medio","2","23","948.6","24.25","256","87577.1","2.91","88599.6","ok","",,"19821","32768","999","layer","f16","f16","1","True","on"
"ctx32k-ram","medio","3","23","918.6","25.04","256","87522.5","2.91","88482.4","ok","",,"19821","32768","999","layer","f16","f16","1","True","on"
"ctx32k-ram","codigo","1","30","877.5","34.19","512","178567.7","2.86","179484.6","ok","",,"19821","32768","999","layer","f16","f16","1","True","on"
"ctx32k-ram","codigo","2","30","918.5","32.66","512","178796.4","2.86","179758.6","ok","",,"19821","32768","999","layer","f16","f16","1","True","on"
"ctx32k-ram","codigo","3","30","916.6","32.73","512","178372.8","2.86","179337.4","ok","",,"19821","32768","999","layer","f16","f16","1","True","on"
