"variant","prompt","rep","prompt_tokens","prompt_ms","prompt_tok_s","gen_tokens","gen_ms","gen_tok_s","wall_ms"
"mtp","corto","1","23","367.5","62.58","64","4185.7","15.05","4554.9"
"mtp","corto","2","4","367.6","10.88","64","4603.0","13.69","5105.5"
"mtp","corto","3","4","372.7","10.73","64","4571.2","13.78","4946"
"mtp","medio","1","23","467.0","49.25","256","18768.9","13.59","19237.5"
"mtp","medio","2","4","364.6","10.97","256","20648.2","12.35","21165.1"
"mtp","medio","3","4","377.6","10.59","256","19315.6","13.20","19863.7"
"mtp","codigo","1","30","460.9","65.09","512","36575.6","13.97","37199.6"
"mtp","codigo","2","4","375.5","10.65","512","36329.2","14.07","36863"
"mtp","codigo","3","4","373.8","10.70","512","35829.2","14.26","36429.7"
