"variant","prompt","rep","prompt_tokens","prompt_ms","prompt_tok_s","gen_tokens","gen_ms","gen_tok_s","wall_ms","status","detail","kv_size_mib","vram_used_mib","ctx","ngl","split_mode","cache_k","cache_v","parallel","nkvo","flash_attn","temp","top_p","top_k","min_p","presence_penalty","reasoning_effort"
"unsloth-reff-xhigh","corto","1","75","890.4","84.23","156","11033.2","14.05","11926.2","ok","",,"18050","8192","999","layer","f16","f16","1","False","on","1","0.95","20","0","0","xhigh"
"unsloth-reff-xhigh","corto","2","75","565.1","132.72","255","14374.8","17.67","15131.5","ok","",,"18050","8192","999","layer","f16","f16","1","False","on","1","0.95","20","0","0","xhigh"
"unsloth-reff-xhigh","corto","3","75","556.7","134.73","164","9167.0","17.78","9904.2","ok","",,"18050","8192","999","layer","f16","f16","1","False","on","1","0.95","20","0","0","xhigh"
"unsloth-reff-xhigh","medio","1","75","569.0","131.80","8117","466363.1","17.40","467115.2","ok","",,"18050","8192","999","layer","f16","f16","1","False","on","1","0.95","20","0","0","xhigh"
"unsloth-reff-xhigh","medio","2","75","592.6","126.57","7078","428314.7","16.52","429833.7","ok","",,"18050","8192","999","layer","f16","f16","1","False","on","1","0.95","20","0","0","xhigh"
"unsloth-reff-xhigh","medio","3","75","582.1","128.84","8117","493234.8","16.45","494615.1","ok","",,"18050","8192","999","layer","f16","f16","1","False","on","1","0.95","20","0","0","xhigh"
"unsloth-reff-xhigh","codigo","1","82","579.0","141.62","662","37552.3","17.60","38681.9","ok","",,"18050","8192","999","layer","f16","f16","1","False","on","1","0.95","20","0","0","xhigh"
"unsloth-reff-xhigh","codigo","2","82","573.4","143.01","626","35447.4","17.63","36205.5","ok","",,"18050","8192","999","layer","f16","f16","1","False","on","1","0.95","20","0","0","xhigh"
"unsloth-reff-xhigh","codigo","3","82","573.8","142.92","839","47526.6","17.63","48285.1","ok","",,"18050","8192","999","layer","f16","f16","1","False","on","1","0.95","20","0","0","xhigh"
