"variant","prompt","rep","prompt_tokens","prompt_ms","prompt_tok_s","gen_tokens","gen_ms","gen_tok_s","wall_ms","status","detail","kv_size_mib","vram_used_mib","ctx","ngl","split_mode","cache_k","cache_v","parallel","nkvo","flash_attn"
"spd-layer-faoff","corto","1","23","323.6","71.07","64","4213.1","14.95","4538.8","ok","",,"20349","8192","999","layer","f16","f16","1","False","auto"
"spd-layer-faoff","corto","2","23","324.2","70.94","64","4074.7","15.46","4539.6","ok","",,"20349","8192","999","layer","f16","f16","1","False","auto"
"spd-layer-faoff","corto","3","23","319.1","72.07","64","4075.7","15.46","4397.6","ok","",,"20349","8192","999","layer","f16","f16","1","False","auto"
"spd-layer-faoff","medio","1","23","315.4","72.92","256","16094.6","15.84","16549.2","ok","",,"20349","8192","999","layer","f16","f16","1","False","auto"
"spd-layer-faoff","medio","2","23","314.4","73.16","256","16303.6","15.64","16763","ok","",,"20349","8192","999","layer","f16","f16","1","False","auto"
"spd-layer-faoff","medio","3","23","314.9","73.04","256","16407.8","15.54","16868.2","ok","",,"20349","8192","999","layer","f16","f16","1","False","auto"
"spd-layer-faoff","codigo","1","30","330.4","90.81","512","32669.6","15.64","33182.4","ok","",,"20349","8192","999","layer","f16","f16","1","False","auto"
"spd-layer-faoff","codigo","2","30","330.5","90.76","512","32540.0","15.70","33063.1","ok","",,"20349","8192","999","layer","f16","f16","1","False","auto"
"spd-layer-faoff","codigo","3","30","315.7","95.03","512","31768.4","16.09","32295.2","ok","",,"20349","8192","999","layer","f16","f16","1","False","auto"
