"variant","prompt","rep","prompt_tokens","prompt_ms","prompt_tok_s","gen_tokens","gen_ms","gen_tok_s","wall_ms","status","detail","kv_size_mib","vram_used_mib","ctx","ngl","split_mode","cache_k","cache_v","parallel","nkvo","flash_attn"
"spd-layer-q8","corto","1","23","312.9","73.50","64","3939.6","15.99","4257.9","ok","",,"19747","8192","999","layer","q8_0","q8_0","1","False","on"
"spd-layer-q8","corto","2","23","311.2","73.91","64","3936.5","16.00","4380.3","ok","",,"19747","8192","999","layer","q8_0","q8_0","1","False","on"
"spd-layer-q8","corto","3","23","310.2","74.15","64","3946.9","15.96","4259.7","ok","",,"19747","8192","999","layer","q8_0","q8_0","1","False","on"
"spd-layer-q8","medio","1","23","314.7","73.09","256","15968.3","15.97","16421.3","ok","",,"19747","8192","999","layer","q8_0","q8_0","1","False","on"
"spd-layer-q8","medio","2","23","314.2","73.20","256","16004.7","15.93","16462.9","ok","",,"19747","8192","999","layer","q8_0","q8_0","1","False","on"
"spd-layer-q8","medio","3","23","320.2","71.82","256","16252.3","15.69","16713.5","ok","",,"19747","8192","999","layer","q8_0","q8_0","1","False","on"
"spd-layer-q8","codigo","1","30","318.3","94.26","512","32329.2","15.81","32788","ok","",,"19747","8192","999","layer","q8_0","q8_0","1","False","on"
"spd-layer-q8","codigo","2","30","317.9","94.36","512","32220.7","15.86","32722.3","ok","",,"19747","8192","999","layer","q8_0","q8_0","1","False","on"
"spd-layer-q8","codigo","3","30","319.1","94.02","512","32008.0","15.96","32501.4","ok","",,"19747","8192","999","layer","q8_0","q8_0","1","False","on"
