"variant","prompt","rep","prompt_tokens","prompt_ms","prompt_tok_s","gen_tokens","gen_ms","gen_tok_s","wall_ms","status","detail","kv_size_mib","vram_used_mib","ctx","ngl","split_mode","cache_k","cache_v","parallel","nkvo","flash_attn","temp","top_p","top_k","min_p","presence_penalty","reasoning_effort"
"unsloth-reff-low","corto","1","63","535.1","117.75","212","11958.1","17.64","12495.9","ok","",,"18205","8192","999","layer","f16","f16","1","False","on","1","0.95","20","0","0","low"
"unsloth-reff-low","corto","2","63","535.2","117.71","195","10986.9","17.66","11694","ok","",,"18205","8192","999","layer","f16","f16","1","False","on","1","0.95","20","0","0","low"
"unsloth-reff-low","corto","3","63","535.1","117.75","207","11667.6","17.66","12368.6","ok","",,"18205","8192","999","layer","f16","f16","1","False","on","1","0.95","20","0","0","low"
"unsloth-reff-low","medio","1","63","536.5","117.42","4212","240202.0","17.53","240903.2","ok","",,"18205","8192","999","layer","f16","f16","1","False","on","1","0.95","20","0","0","low"
"unsloth-reff-low","medio","2","63","536.3","117.47","3561","202890.0","17.55","203795.2","ok","",,"18205","8192","999","layer","f16","f16","1","False","on","1","0.95","20","0","0","low"
"unsloth-reff-low","medio","3","63","535.7","117.60","3657","208405.8","17.54","209270.1","ok","",,"18205","8192","999","layer","f16","f16","1","False","on","1","0.95","20","0","0","low"
"unsloth-reff-low","codigo","1","70","554.9","126.15","1226","74915.3","16.35","75798.8","ok","",,"18205","8192","999","layer","f16","f16","1","False","on","1","0.95","20","0","0","low"
"unsloth-reff-low","codigo","2","70","551.1","127.01","1167","65412.6","17.83","66177.1","ok","",,"18205","8192","999","layer","f16","f16","1","False","on","1","0.95","20","0","0","low"
"unsloth-reff-low","codigo","3","70","549.3","127.44","1406","78845.3","17.82","79603","ok","",,"18205","8192","999","layer","f16","f16","1","False","on","1","0.95","20","0","0","low"
