"variant","prompt","rep","prompt_tokens","prompt_ms","prompt_tok_s","gen_tokens","gen_ms","gen_tok_s","wall_ms","status","detail","kv_size_mib","vram_used_mib","ctx","ngl","split_mode","cache_k","cache_v","parallel","nkvo","flash_attn"
"spd-layer","corto","1","23","312.2","73.68","64","3994.9","15.77","4310.4","ok","",,"19960","8192","999","layer","f16","f16","1","False","on"
"spd-layer","corto","2","23","313.4","73.39","64","4005.3","15.73","4455.3","ok","",,"19960","8192","999","layer","f16","f16","1","False","on"
"spd-layer","corto","3","23","313.3","73.42","64","3997.3","15.76","4330.4","ok","",,"19960","8192","999","layer","f16","f16","1","False","on"
"spd-layer","medio","1","23","370.7","62.05","256","16257.5","15.69","16630.1","ok","",,"19960","8192","999","layer","f16","f16","1","False","on"
"spd-layer","medio","2","23","311.2","73.91","256","16188.5","15.75","16648.8","ok","",,"19960","8192","999","layer","f16","f16","1","False","on"
"spd-layer","medio","3","23","311.5","73.83","256","16098.3","15.84","16579.6","ok","",,"19960","8192","999","layer","f16","f16","1","False","on"
"spd-layer","codigo","1","30","322.2","93.10","512","32639.8","15.66","33125.4","ok","",,"19960","8192","999","layer","f16","f16","1","False","on"
"spd-layer","codigo","2","30","321.9","93.18","512","33156.3","15.41","33664.6","ok","",,"19960","8192","999","layer","f16","f16","1","False","on"
"spd-layer","codigo","3","30","319.2","93.99","512","32501.8","15.72","32997.3","ok","",,"19960","8192","999","layer","f16","f16","1","False","on"
