"variant","prompt","rep","prompt_tokens","prompt_ms","prompt_tok_s","gen_tokens","gen_ms","gen_tok_s","wall_ms","status","detail","kv_size_mib","vram_used_mib","ctx","ngl","split_mode","cache_k","cache_v","parallel","nkvo","flash_attn"
"ctx16k-q8","corto","1","23","311.2","73.90","64","3937.7","16.00","4251.1","ok","",,"20318","16384","999","layer","q8_0","q8_0","1","False","on"
"ctx16k-q8","corto","2","23","313.5","73.36","64","3943.0","15.98","4390.7","ok","",,"20318","16384","999","layer","q8_0","q8_0","1","False","on"
"ctx16k-q8","corto","3","23","315.3","72.94","64","3939.6","15.99","4392.2","ok","",,"20318","16384","999","layer","q8_0","q8_0","1","False","on"
"ctx16k-q8","medio","1","23","312.4","73.62","256","15927.8","16.01","16399.5","ok","",,"20318","16384","999","layer","q8_0","q8_0","1","False","on"
"ctx16k-q8","medio","2","23","313.4","73.39","256","15932.2","16.01","16412.3","ok","",,"20318","16384","999","layer","q8_0","q8_0","1","False","on"
"ctx16k-q8","medio","3","23","314.7","73.10","256","15931.6","16.01","16411.4","ok","",,"20318","16384","999","layer","q8_0","q8_0","1","False","on"
"ctx16k-q8","codigo","1","30","321.1","93.43","512","31955.6","15.99","32448.1","ok","",,"20318","16384","999","layer","q8_0","q8_0","1","False","on"
"ctx16k-q8","codigo","2","30","319.6","93.87","512","32253.5","15.84","32748.9","ok","",,"20318","16384","999","layer","q8_0","q8_0","1","False","on"
"ctx16k-q8","codigo","3","30","326.4","91.92","512","32376.2","15.78","32877.9","ok","",,"20318","16384","999","layer","q8_0","q8_0","1","False","on"
