"variant","prompt","rep","prompt_tokens","prompt_ms","prompt_tok_s","gen_tokens","gen_ms","gen_tok_s","wall_ms","status","detail","kv_size_mib","vram_used_mib","ctx","ngl","split_mode","cache_k","cache_v","parallel","nkvo","flash_attn"
"ctx8k-f16","corto","1","23","322.1","71.40","64","4036.1","15.61","4359.6","ok","",,"19924","8192","999","layer","f16","f16","1","False","on"
"ctx8k-f16","corto","2","23","314.7","73.09","64","3989.3","15.79","4443.8","ok","",,"19924","8192","999","layer","f16","f16","1","False","on"
"ctx8k-f16","corto","3","23","313.0","73.47","64","3983.6","15.81","4298.1","ok","",,"19924","8192","999","layer","f16","f16","1","False","on"
"ctx8k-f16","medio","1","23","315.4","72.93","256","16112.7","15.83","16430.8","ok","",,"19924","8192","999","layer","f16","f16","1","False","on"
"ctx8k-f16","medio","2","23","319.5","72.00","256","16402.8","15.55","16868","ok","",,"19924","8192","999","layer","f16","f16","1","False","on"
"ctx8k-f16","medio","3","23","320.7","71.72","256","16686.4","15.28","17157.1","ok","",,"19924","8192","999","layer","f16","f16","1","False","on"
"ctx8k-f16","codigo","1","30","329.7","91.00","512","32906.6","15.53","33408.6","ok","",,"19924","8192","999","layer","f16","f16","1","False","on"
"ctx8k-f16","codigo","2","30","329.4","91.07","512","32506.9","15.72","33007.8","ok","",,"19924","8192","999","layer","f16","f16","1","False","on"
"ctx8k-f16","codigo","3","30","326.1","91.99","512","32332.8","15.80","32820.1","ok","",,"19924","8192","999","layer","f16","f16","1","False","on"
