"variant","prompt","rep","prompt_tokens","prompt_ms","prompt_tok_s","gen_tokens","gen_ms","gen_tok_s","wall_ms","status","detail","kv_size_mib","vram_used_mib","ctx","ngl","split_mode","cache_k","cache_v","parallel","nkvo","flash_attn"
"ctx32k-f16","corto","1","23","2052.5","11.21","64","17633.6","3.57","19688.2","ok","",,"21761","32768","999","layer","f16","f16","1","False","on"
"ctx32k-f16","corto","2","23","677.0","33.97","64","19317.3","3.26","20133.2","ok","",,"21761","32768","999","layer","f16","f16","1","False","on"
"ctx32k-f16","corto","3","23","459.6","50.04","64","15950.8","3.95","16545.4","ok","",,"21761","32768","999","layer","f16","f16","1","False","on"
"ctx32k-f16","medio","1","23","600.4","38.31","256","60381.2","4.22","60983.5","ok","",,"21761","32768","999","layer","f16","f16","1","False","on"
"ctx32k-f16","medio","2","23","471.6","48.77","256","27047.8","9.43","27701.7","ok","",,"21761","32768","999","layer","f16","f16","1","False","on"
"ctx32k-f16","medio","3","23","321.1","71.63","256","16028.4","15.91","16517.5","ok","",,"21761","32768","999","layer","f16","f16","1","False","on"
"ctx32k-f16","codigo","1","30","322.3","93.08","512","38367.9","13.32","38868.7","ok","",,"21761","32768","999","layer","f16","f16","1","False","on"
"ctx32k-f16","codigo","2","30","320.2","93.70","512","32122.3","15.91","32605.4","ok","",,"21761","32768","999","layer","f16","f16","1","False","on"
"ctx32k-f16","codigo","3","30","321.0","93.46","512","32081.8","15.93","32594.7","ok","",,"21761","32768","999","layer","f16","f16","1","False","on"
