"variant","prompt","rep","prompt_tokens","prompt_ms","prompt_tok_s","gen_tokens","gen_ms","gen_tok_s","wall_ms"
"mtp-gpu","corto","1","23","661.3","34.78","64","2626.4","23.99","3294.5"
"mtp-gpu","corto","2","4","334.0","11.98","64","2245.9","28.05","2740.1"
"mtp-gpu","corto","3","4","355.1","11.26","64","2614.6","24.10","2972.1"
"mtp-gpu","medio","1","23","346.3","66.42","256","14452.2","17.64","14800.9"
"mtp-gpu","medio","2","4","338.6","11.81","256","11904.5","21.42","12416.3"
"mtp-gpu","medio","3","4","340.8","11.74","256","12709.1","20.06","13247"
"mtp-gpu","codigo","1","30","373.7","80.27","512","17355.8","29.44","17894.4"
"mtp-gpu","codigo","2","4","332.1","12.04","512","20256.2","25.23","20774.5"
"mtp-gpu","codigo","3","4","330.4","12.11","512","21086.2","24.23","21628.4"
